Year,Team,Payroll
2009,Cleveland Indians,81625567.0
2009,Toronto Blue Jays,80993657.0
2009,Milwaukee Brewers,80257502.0
2009,Colorado Rockies,75201000.0
2009,Arizona Diamondbacks,73571667.0
2009,Cincinnati Reds,70968500.0
2009,Kansas City Royals,70908333.0
2009,Texas Rangers,68646023.0
2009,Baltimore Orioles,67101667.0
2009,Minnesota Twins,65299267.0
2009,Tampa Bay Rays,63313035.0
2009,Oakland Athletics,62310000.0
2009,Washington Nationals,59328000.0
2009,Pittsburgh Pirates,48743000.0
2009,San Diego Padres,42796700.0
2009,Florida Marlins,36814000.0
2008,New York Yankees,209081577.0
2008,New York Mets,137793376.0
2008,Detroit Tigers,137685196.0
2008,Boston Red Sox,133390035.0
2008,Chicago White Sox,121189332.0
2008,Los Angeles Angels,119216333.0
2008,Los Angeles Dodgers,118588536.0
2008,Chicago Cubs,118345833.0
2008,Seattle Mariners,117666482.0
2008,Atlanta Braves,102365683.0
2008,St. Louis Cardinals,99624449.0
2008,Philadelphia Phillies,98269880.0
2008,Toronto Blue Jays,97793900.0
2008,Houston Astros,88930414.0
2008,Milwaukee Brewers,80937499.0
2008,Cleveland Indians,78970066.0
2008,San Francisco Giants,76594500.0
2008,Cincinnati Reds,74117695.0
2008,San Diego Padres,73677616.0
2008,Colorado Rockies,68655500.0
2008,Texas Rangers,67712326.0
2008,Baltimore Orioles,67196246.0
2008,Arizona Diamondbacks,66202712.0
2008,Kansas City Royals,58245500.0
2008,Minnesota Twins,56932766.0
2008,Washington Nationals,54961000.0
2008,Pittsburgh Pirates,48689783.0
2008,Oakland Athletics,47967126.0
2008,Tampa Bay Rays,43820597.0
2008,Florida Marlins,21811500.0
2007,New York Yankees,189639045.0
2007,Boston Red Sox,143026214.0
2007,New York Mets,115231663.0
2007,Los Angeles Angels,109251333.0
2007,Chicago White Sox,108671833.0
2007,Los Angeles Dodgers,108454524.0
2007,Seattle Mariners,106460833.0
2007,Chicago Cubs,99670332.0
2007,Detroit Tigers,95180369.0
2007,Baltimore Orioles,93554808.0
2007,St. Louis Cardinals,90286823.0
2007,San Francisco Giants,90219056.0
2007,Philadelphia Phillies,89428213.0
2007,Houston Astros,87759000.0
2007,Atlanta Braves,87290833.0
2007,Toronto Blue Jays,81942800.0
2007,Oakland Athletics,79366940.0
2007,Minnesota Twins,71439500.0
2007,Milwaukee Brewers,70986500.0
2007,Cincinnati Reds,68904980.0
2007,Texas Rangers,68318675.0
2007,Kansas City Royals,67116500.0
2007,Cleveland Indians,61673267.0
2007,San Diego Padres,58110567.0
2007,Colorado Rockies,54424000.0
2007,Arizona Diamondbacks,52067546.0
2007,Pittsburgh Pirates,38537833.0
2007,Washington Nationals,37347500.0
2007,Florida Marlins,30507000.0
2007,Tampa Bay Rays,24123500.0
2006,New York Yankees,194663079.0
2006,Boston Red Sox,120099824.0
2006,Los Angeles Angels,103472000.0
2006,Chicago White Sox,102750667.0
2006,New York Mets,101084963.0
2006,Los Angeles Dodgers,98447187.0
2006,Chicago Cubs,94424499.0
2006,Houston Astros,92551503.0
2006,Atlanta Braves,90156876.0
2006,San Francisco Giants,90056419.0
2006,St. Louis Cardinals,88891371.0
2006,Philadelphia Phillies,88273333.0
2006,Seattle Mariners,87959833.0
2006,Detroit Tigers,82612866.0
2006,Baltimore Orioles,72585582.0
2006,Toronto Blue Jays,71915000.0
2006,San Diego Padres,69896141.0
2006,Texas Rangers,68228662.0
2006,Minnesota Twins,63396006.0
2006,Washington Nationals,63143000.0
2006,Oakland Athletics,62243079.0
2006,Cincinnati Reds,60909519.0
2006,Arizona Diamondbacks,59684226.0
2006,Milwaukee Brewers,57568333.0
2006,Cleveland Indians,56031500.0
2006,Kansas City Royals,47294000.0
2006,Pittsburgh Pirates,46717750.0
2006,Colorado Rockies,41233000.0
2006,Tampa Bay Rays,35417967.0
2006,Florida Marlins,14998500.0
2005,New York Yankees,205938439.0
2005,Boston Red Sox,121311945.0
2005,New York Mets,104770139.0
2005,Philadelphia Phillies,95337908.0
2005,Los Angeles Angels,95017822.0
2005,St. Louis Cardinals,93319842.0
2005,San Francisco Giants,89487842.0
2005,Chicago Cubs,87210933.0
2005,Seattle Mariners,85883333.0
2005,Atlanta Braves,85148582.0
2005,Los Angeles Dodgers,81029500.0
2005,Houston Astros,76779022.0
2005,Chicago White Sox,75228000.0
2005,Baltimore Orioles,74570539.0
2005,Detroit Tigers,68998183.0
2005,Arizona Diamondbacks,63015834.0
2005,San Diego Padres,62888192.0
2005,Florida Marlins,60375961.0
2005,Cincinnati Reds,59658275.0
2005,Minnesota Twins,56615000.0
2005,Oakland Athletics,55869262.0
2005,Texas Rangers,55307258.0
2005,Washington Nationals,48581500.0
2005,Colorado Rockies,47789000.0
2005,Toronto Blue Jays,45336500.0
2005,Cleveland Indians,41830400.0
2005,Milwaukee Brewers,40234833.0
2005,Pittsburgh Pirates,38138000.0
2005,Kansas City Royals,36881000.0
2005,Tampa Bay Rays,29893567.0
2004,New York Yankees,182835513.0
2004,Boston Red Sox,125208542.0
2004,Los Angeles Angels,101084667.0
2004,New York Mets,100629303.0
2004,Philadelphia Phillies,93219167.0
2004,Chicago Cubs,91101667.0
2004,Los Angeles Dodgers,89694342.0
2004,Atlanta Braves,88507788.0
2004,San Francisco Giants,82019167.0
2004,Seattle Mariners,81543833.0
2004,St. Louis Cardinals,75633517.0
2004,Houston Astros,74666303.0
2004,Arizona Diamondbacks,70204984.0
2004,Chicago White Sox,65212500.0
2004,Colorado Rockies,64590403.0
2004,Oakland Athletics,59825167.0
2004,Texas Rangers,54825973.0
2004,San Diego Padres,54639503.0
2004,Minnesota Twins,53585000.0
2004,Baltimore Orioles,51212653.0
2004,Toronto Blue Jays,50017000.0
2004,Kansas City Royals,47609000.0
2004,Detroit Tigers,46353554.0
2004,Montreal Expos,43197500.0
2004,Cincinnati Reds,43067858.0
2004,Florida Marlins,42118042.0
2004,Cleveland Indians,34569300.0
2004,Pittsburgh Pirates,32227929.0
2004,Tampa Bay Rays,29506667.0
2004,Milwaukee Brewers,27518500.0
2003,New York Yankees,152749814.0
2003,New York Mets,117176429.0
2003,Atlanta Braves,106243667.0
2003,Los Angeles Dodgers,105872620.0
2003,Texas Rangers,103491667.0
2003,Boston Red Sox,99946500.0
2003,Seattle Mariners,86959167.0
2003,St Louis Cardinals,83486666.0
2003,San Francisco Giants,82852167.0
2003,Arizona Diamondbacks,80640333.0
2003,Chicago Cubs,79868333.0
2003,Los Angeles Angels,79031667.0
2003,Baltimore Orioles,73877500.0
2003,Houston Astros,71040000.0
2003,Philadelphia Phillies,70780000.0
2003,Colorado Rockies,67179667.0
2003,Cincinnati Reds,59355667.0
2003,Minnesota Twins,55505000.0
2003,Pittsburgh Pirates,54812429.0
2003,Montreal Expos,51948500.0
2003,Toronto Blue Jays,51269000.0
2003,Chicago White Sox,51010000.0
2003,Oakland Athletics,50260834.0
2003,Detroit Tigers,49168000.0
2003,Florida Marlins,49050000.0
2003,Cleveland Indians,48584834.0
2003,San Diego Padres,47928000.0
2003,Milwaukee Brewers,40627000.0
2003,Kansas City Royals,40518000.0
2003,Tampa Bay Rays,19630000.0
2002,New York Yankees,125928583.0
2002,Boston Red Sox,108366060.0
2002,Texas Rangers,105302124.0
2002,Arizona Diamondbacks,102820000.0
2002,Los Angeles Dodgers,94850952.0
2002,New York Mets,94633593.0
2002,Atlanta Braves,93470367.0
2002,Seattle Mariners,80282668.0
2002,Cleveland Indians,78909448.0
2002,San Francisco Giants,78299835.0
2002,Toronto Blue Jays,76864333.0
2002,Chicago Cubs,75690833.0
2002,St. Louis Cardinals,74098267.0
2002,Houston Astros,63448417.0
2002,Los Angeles Angels,61721667.0
2002,Baltimore Orioles,60493487.0
2002,Philadelphia Phillies,57955000.0
2002,Chicago White Sox,57052833.0
2002,Colorado Rockies,56851043.0
2002,Detroit Tigers,55048000.0
2002,Milwaukee Brewers,50287833.0
2002,Kansas City Royals,47257000.0
2002,Cincinnati Reds,45050390.0
2002,Pittsburgh Pirates,42323598.0
2002,Florida Marlins,41979917.0
2002,San Diego Padres,41425000.0
2002,Minnesota Twins,40225000.0
2002,Oakland Athletics,39679746.0
2002,Montreal Expos,38670500.0
2002,Tampa Bay Rays,34380000.0
2001,New York Yankees,109791893.0
2001,Boston Red Sox,109558908.0
2001,Los Angeles Dodgers,108980952.0
2001,New York Mets,93174428.0
2001,Cleveland Indians,91974979.0
2001,Atlanta Braves,91851687.0
2001,Texas Rangers,88504421.0
2001,Arizona Diamondbacks,81206513.0
2001,St. Louis Cardinals,77270855.0
2001,Toronto Blue Jays,75798500.0
2001,Seattle Mariners,75652500.0
2001,Baltimore Orioles,72426328.0
2001,Colorado Rockies,71068000.0
2001,Chicago Cubs,64015833.0
2001,San Francisco Giants,63332667.0
2001,Chicago White Sox,62363000.0
2001,Houston Astros,60382667.0
2001,Tampa Bay Rays,54951602.0
2001,Pittsburgh Pirates,52698333.0
2001,Detroit Tigers,49831167.0
2001,Los Angeles Angels,46568180.0
2001,Cincinnati Reds,45227882.0
2001,Milwaukee Brewers,43089333.0
2001,Philadelphia Phillies,41664167.0
2001,San Diego Padres,38333117.0
2001,Kansas City Royals,35643000.0
2001,Florida Marlins,35504167.0
2001,Montreal Expos,34774500.0
2001,Oakland Athletics,33810750.0
2001,Minnesota Twins,24350000.0
2000,New York Yankees,92538260.0
2000,Los Angeles Dodgers,88124286.0
2000,Atlanta Braves,84537836.0
2000,Baltimore Orioles,81447435.0
2000,Arizona Diamondbacks,81027833.0
2000,New York Mets,79509776.0
2000,Boston Red Sox,77940333.0
2000,Cleveland Indians,75880871.0
2000,Texas Rangers,70795921.0
2000,Tampa Bay Rays,62765129.0
2000,St. Louis Cardinals,61453863.0
2000,Colorado Rockies,61111190.0
2000,Chicago Cubs,60539333.0
2000,Seattle Mariners,58915000.0
2000,Detroit Tigers,58265167.0
2000,San Diego Padres,54821000.0
2000,San Francisco Giants,53737826.0
2000,Los Angeles Angels,51464167.0
2000,Houston Astros,51289111.0
2000,Philadelphia Phillies,47308000.0
2000,Cincinnati Reds,46867200.0
2000,Toronto Blue Jays,46238333.0
2000,Milwaukee Brewers,36505333.0
2000,Montreal Expos,34807833.0
2000,Oakland Athletics,31971333.0
2000,Chicago White Sox,31133500.0
2000,Pittsburgh Pirates,28928333.0
2000,Kansas City Royals,23433000.0
2000,Florida Marlins,20072000.0
2000,Minnesota Twins,16519500.0

